,Unnamed: 0.1,Unnamed: 0,Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period,t,o,tao,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,Decomp(PBE),Decomp(HSE),Band gap(HSE-mf1),A_En_mull,B_En_mull,X_En_mull,x(S),CBM,VBM,n_abs(%),n_cu(%),n_STH(%)
2897,67065,67065,23055,CsCa0.125Ge0.375Pb0.250Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.38,0.25,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.04,2609.5,869.75,6.85,113.72,83.25,715.54,15.98,261.76,1.95,47.5,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8720983634634085,0.5306122448979592,4.135426831529346,0,0,0,1,0,1,0,-0.2662004651749997,-0.2902524087500006,1.8204789770000016,2.1826697585,4.1394495985,7.589258675,5.239691764566769,-0.11054772393323253,1.709931253066769,61.9,39.07,24.18433
1160,33203,33203,12275,CsCa0.250Ge0.250Pb0.375Sn0.125Br3,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.25,0.13,0.38,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.06,2334.13,869.26,6.89,120.71,47.38,694.86,12.77,225.25,1.87,50.0,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8663228776126575,0.5408163265306123,4.161114234380931,0,1,0,0,0,1,0,-0.2177284497449993,-0.2369700050950004,1.8201938183249984,2.1826697585,3.846399016,7.589258675,5.163308647236532,-0.18678826192596787,1.6334055563990306,61.9,39.07,24.18433
1114,33121,33121,12223,CsCa0.125Ge0.500Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2851.63,934.17,5.6,85.83,85.88,720.5,19.67,295.37,1.86,37.25,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8868796916577035,0.5051020408163265,4.096423757523503,0,1,0,0,0,1,0,-0.2595615210725004,-0.2478510437700005,1.7336246772750017,2.1826697585,4.178782117,7.589258675,5.249611509075745,-0.05720082956175632,1.6764238477132454,66.24,36.51,24.184223999999993
384,15905,15905,5591,CsGe0.625Pb0.250Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.63,0.0,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.0,2654.5,1037.6,6.48,108.13,81.5,723.88,22.09,270.53,1.96,45.25,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8838834764831844,0.5102040816326531,4.101445686930132,1,0,0,0,0,1,0,-0.2234843212125002,-0.1949792215400004,1.733994604600006,2.1826697585,4.173599967,7.589258675,5.248308843462291,-0.058688458837712565,1.6753061457622935,66.24,36.51,24.184223999999993
2695,66812,66812,22834,CsGe0.500Pb0.125Sn0.250Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.5,0.25,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.03,2732.25,937.36,6.22,102.84,83.0,716.33,19.32,279.09,1.9,43.5,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8750150803980687,0.5255102040816326,4.124800123392641,0,0,0,1,0,1,0,-0.2708422857599999,-0.2846821186999989,1.7724433603500014,2.1826697585,4.142247959500001,7.589258675,5.240400002967043,-0.0858216772079583,1.686621683142043,64.2,37.67,24.184140000000003
2879,67036,67036,23037,CsCa0.125Ge0.250Pb0.250Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.25,0.38,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.07,2580.63,781.46,7.1,119.48,83.38,708.85,12.91,256.27,1.94,49.75,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8634637262013947,0.5459183673469388,4.176242409727179,0,0,0,1,0,1,0,-0.2573710687949996,-0.2709902355075003,1.772640509674997,2.1826697585,4.1054546945,7.589258675,5.231057242416287,-0.09526301242121205,1.6773774972537852,64.2,37.67,24.184140000000003
1781,50052,50052,18400,CsCa0.125Ge0.250Pb0.125Sn0.500Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.25,0.5,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.07,2687.25,769.52,6.6,108.42,84.75,707.99,13.21,270.33,1.9,45.75,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8634637262013947,0.5459183673469388,4.176242409727179,0,0,1,0,0,1,0,-0.2642446052025001,-0.2664719632025,1.7526149835250044,2.1826697585,4.108097591,7.589258675,5.231730570234637,-0.08457692152786556,1.6680380619971389,65.22,37.08,24.183576
1128,33145,33145,12243,CsCa0.125Ge0.625Pb0.250Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.63,0.0,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.97,2667.25,1046.35,6.36,102.19,83.0,728.91,22.13,272.75,1.96,43.0,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8929334779488827,0.4948979591836734,4.09040869482819,0,1,0,0,0,1,0,-0.2508461140950003,-0.266571018395,1.7530593498750018,2.1826697585,4.2074394065,7.589258675,5.256792005592569,-0.0597376693449323,1.6933216805300695,65.22,37.08,24.183576
1904,50678,50678,18523,CsBa0.125Ge0.500Pb0.125Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.5,0.25,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.05,2785.13,932.36,6.36,109.05,97.5,710.5,19.3,279.51,1.9,45.75,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8692010267077163,0.5357142857142857,4.147520811489702,0,0,1,0,0,1,0,-0.1981566022950001,-0.2061075770700002,1.7023096681499987,2.1826697585,4.1871772,7.589258675,5.251719087347039,-0.03943574672796035,1.6628739214220385,67.57,35.79,24.183302999999995
415,16114,16114,5779,CsCa0.125Ge0.375Sn0.500Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.38,0.5,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.03,2822.75,845.87,5.84,91.59,86.0,713.81,16.59,289.88,1.86,39.5,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8750150803980687,0.5255102040816326,4.124800123392641,1,0,0,0,0,1,0,-0.2490950351574996,-0.2062516675775003,1.7706934567000014,2.1826697585,4.144735391499999,7.589258675,5.241029226946858,-0.0843175014031432,1.6863759552968582,64.3,37.61,24.18323
450,16174,16174,5826,CsCa0.125Ge0.875Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.88,0.0,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.89,2938.25,1199.06,4.85,68.54,85.5,740.56,28.89,311.85,1.88,30.5,4.0,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.9179982773299038,0.4540816326530612,4.118418101168446,1,0,0,0,0,1,0,-0.2524455340324999,-0.2043259799075003,1.971156121075,2.1826697585,4.280766829,7.589258675,5.27498870713,-0.15058935340750002,1.8205667676675,53.98,44.8,24.183039999999995
1220,33705,33705,12348,CsBa0.125Ge0.500Pb0.375Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.5,0.0,0.38,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.06,2571.88,956.24,7.37,131.17,94.75,712.23,18.69,251.39,1.99,53.75,5.0,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8663228776126575,0.5408163265306123,4.161114234380931,0,1,0,0,0,1,0,-0.1435861224477499,-0.1881039633700001,1.7140479090250065,2.1826697585,4.181891407,7.589258675,5.2503924882344215,-0.04663146627808212,1.6674164427469242,67.1,36.04,24.182839999999995
371,15867,15867,5560,CsGe0.500Sn0.375Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.02,2838.88,925.42,5.72,91.77,84.38,715.46,19.63,293.15,1.86,39.5,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8779513726141697,0.5204081632653061,4.115611491391544,1,0,0,0,0,1,0,-0.2340654833049995,-0.1925604390475003,1.7135215159999992,2.1826697585,4.144890856,7.589258675,5.241068543413979,-0.05569221458602103,1.6578293014139782,67.1,36.04,24.182839999999995
1900,50673,50673,18519,CsBa0.125Ge0.500Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.04,2891.75,920.42,5.85,97.99,98.88,709.64,19.6,293.56,1.85,41.75,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8720983634634085,0.5306122448979592,4.135426831529346,0,0,1,0,0,1,0,-0.1943321288899999,-0.1849044665330001,1.859001162025007,2.1826697585,4.189871918,7.589258675,5.252394877246633,-0.1171057037658706,1.7418954582591364,59.71,40.5,24.182550000000003
1136,33153,33153,12251,CsCa0.125Ge0.875Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.88,0.0,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.89,2938.25,1199.06,4.85,68.54,85.5,740.56,28.89,311.85,1.88,30.5,4.0,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.9179982773299038,0.4540816326530612,4.118418101168446,0,1,0,0,0,1,0,-0.2658586123799999,-0.2503060258674991,1.9328284641999964,2.1826697585,4.280766829,7.589258675,5.27498870713,-0.13142552496999826,1.8014029392299982,56.03,43.16,24.182547999999997
1826,50122,50122,18445,CsCa0.125Ge0.625Pb0.125Sn0.125Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.63,0.13,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.96,2773.88,1034.41,5.85,91.13,84.38,728.05,22.44,286.81,1.92,39.0,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8959914693117212,0.4897959183673469,4.089385411558496,0,0,1,0,0,1,0,-0.27450862849,-0.2806465961524996,1.811921137549995,2.1826697585,4.2101341245,7.589258675,5.257465191492293,-0.08849537728270496,1.7234257602672902,62.31,38.81,24.182511000000005
539,16738,16738,5929,CsBa0.125Ge0.625Pb0.250Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.63,0.0,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.02,2707.38,1032.6,6.61,114.35,96.0,718.05,22.07,270.94,1.95,47.5,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8779513726141697,0.5204081632653061,4.115611491391544,1,0,0,0,0,1,0,-0.1491414745549996,-0.1206971310797502,1.6864382645749991,2.1826697585,4.2185292075,7.589258675,5.259560217139168,-0.023658915148331516,1.6627793494266676,68.37,35.37,24.182469
2700,66822,66822,22843,CsGe0.500Pb0.375Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.5,0.0,0.38,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.04,2519.0,961.24,7.23,124.96,80.25,718.05,18.71,250.98,2.0,51.5,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8720983634634085,0.5306122448979592,4.135426831529346,0,0,0,1,0,1,0,-0.2478116907525007,-0.3005014994824997,1.9683410724250008,2.1826697585,4.1369103449999995,7.589258675,5.2390487722472745,-0.18512176396522628,1.7832193084597745,54.16,44.65,24.182439999999996
1617,49853,49853,18215,CsGe0.625Sn0.250Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.63,0.25,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2867.75,1013.72,5.47,86.01,84.25,722.15,22.7,298.64,1.86,37.25,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8868796916577035,0.5051020408163265,4.096423757523503,0,0,1,0,0,1,0,-0.2482823835025008,-0.2427013962099996,1.9699246327250013,2.1826697585,4.17888576,7.589258675,5.249637549202876,-0.17532476715962508,1.794599865565376,54.16,44.65,24.182439999999996
1912,50690,50690,18531,CsBa0.125Ge0.625Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.63,0.25,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.01,2920.63,1008.72,5.6,92.22,98.75,716.32,22.68,299.06,1.86,39.5,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8809074378418269,0.5153061224489796,4.107834568849016,0,0,1,0,0,1,0,-0.1870929439300002,-0.1825711308024996,1.952659085924996,2.1826697585,4.2238150005,7.589258675,5.260877596818546,-0.15545194614395197,1.7972071397810438,54.91,44.04,24.182363999999996
2677,66771,66771,22803,CsGe0.375Sn0.500Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.38,0.5,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.06,2810.0,837.12,5.97,97.54,84.5,708.78,16.55,287.66,1.85,41.75,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8663228776126575,0.5408163265306123,4.161114234380931,0,0,0,1,0,1,0,-0.260030230034999,-0.2492012630274997,1.940517255974998,2.1826697585,4.110895952,7.589258675,5.23244312795858,-0.17781550002891966,1.7627017559460783,55.54,43.54,24.182116
1811,50100,50100,18430,CsCa0.125Ge0.500Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2851.63,934.17,5.6,85.83,85.88,720.5,19.67,295.37,1.86,37.25,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8868796916577035,0.5051020408163265,4.096423757523503,0,0,1,0,0,1,0,-0.2600486920499996,-0.2544637571275011,1.9440704655000005,2.1826697585,4.178782117,7.589258675,5.249611509075745,-0.16242372367425573,1.7816467418257447,55.4,43.65,24.182100000000002
1594,49799,49799,18173,CsGe0.375Pb0.125Sn0.375Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.38,0.38,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.06,2703.38,849.06,6.47,108.6,83.13,709.64,16.25,273.6,1.9,45.75,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8663228776126575,0.5408163265306123,4.161114234380931,0,0,1,0,0,1,0,-0.2632545724274998,-0.2677504603325001,1.7433803528499985,2.1826697585,4.1082530555,7.589258675,5.231770166960252,-0.07992000946474775,1.6634603433852506,65.73,36.79,24.182067000000004
1046,32813,32813,11960,CsGe0.375Sn0.500Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.38,0.5,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.06,2810.0,837.12,5.97,97.54,84.5,708.78,16.55,287.66,1.85,41.75,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8663228776126575,0.5408163265306123,4.161114234380931,0,1,0,0,0,1,0,-0.2370552232025004,-0.2194073892425,1.6788249481000002,2.1826697585,4.110895952,7.589258675,5.23244312795858,-0.04696934609142078,1.6318556020085793,68.66,35.22,24.182052
2901,67069,67069,23059,CsCa0.125Ge0.375Pb0.375Sn0.125Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.38,0.13,0.38,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.04,2502.88,881.7,7.36,124.78,81.88,716.4,15.68,247.71,2.0,51.5,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8720983634634085,0.5306122448979592,4.135426831529346,0,0,0,1,0,1,0,-0.2607038342450003,-0.30611800388,1.8259596209749995,2.1826697585,4.1368067019999994,7.589258675,5.239022520956907,-0.11395728953059292,1.7120023314444066,61.61,39.25,24.181925
1828,50124,50124,18447,CsCa0.125Ge0.625Pb0.250Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.63,0.0,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.97,2667.25,1046.35,6.36,102.19,83.0,728.91,22.13,272.75,1.96,43.0,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8929334779488827,0.4948979591836734,4.09040869482819,0,0,1,0,0,1,0,-0.2636959044974999,-0.2855339253875005,2.0122435392250027,2.1826697585,4.2074394065,7.589258675,5.256792005592569,-0.18932976401993273,1.82291377520507,52.06,46.45,24.181870000000004
1597,49805,49805,18178,CsGe0.375Pb0.250Sn0.250Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.38,0.25,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.07,2596.75,861.0,6.98,119.66,81.75,710.5,15.94,259.54,1.94,49.75,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8634637262013947,0.5459183673469388,4.176242409727179,0,0,1,0,0,1,0,-0.2530841705700004,-0.2726473489599996,1.768006923375,2.1826697585,4.1055583375,7.589258675,5.231083653960509,-0.0929198077269916,1.6750871156480085,64.45,37.52,24.18164
1784,50057,50057,18403,CsCa0.125Ge0.250Pb0.250Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.25,0.38,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.07,2580.63,781.46,7.1,119.48,83.38,708.85,12.91,256.27,1.94,49.75,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8634637262013947,0.5459183673469388,4.176242409727179,0,0,1,0,0,1,0,-0.2569279445775002,-0.2704469139074996,1.7685367730250052,2.1826697585,4.1054546945,7.589258675,5.231057242416287,-0.09321114409621611,1.675325628928789,64.45,37.52,24.18164
535,16732,16732,5923,CsBa0.125Ge0.625Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.63,0.25,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.01,2920.63,1008.72,5.6,92.22,98.75,716.32,22.68,299.06,1.86,39.5,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8809074378418269,0.5153061224489796,4.107834568849016,1,0,0,0,0,1,0,-0.1526495060694999,-0.1116447151179995,1.7664563287499944,2.1826697585,4.2238150005,7.589258675,5.260877596818546,-0.062350567556451186,1.704105761193543,64.45,37.52,24.18164
2998,67661,67661,23156,CsBa0.125Ge0.500Pb0.250Sn0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.5,0.13,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.05,2678.5,944.3,6.86,120.11,96.13,711.36,18.99,265.45,1.94,49.75,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8692010267077163,0.5357142857142857,4.147520811489702,0,0,0,1,0,1,0,-0.1851876679307498,-0.2058099132900002,1.7673545474749983,2.1826697585,4.1845343035,7.589258675,5.251055955363232,-0.07262131837426744,1.6947332291007309,64.45,37.52,24.18164
446,16170,16170,5822,CsCa0.125Ge0.750Sn0.125Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.75,0.13,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.92,2909.38,1110.77,5.1,74.31,85.63,733.88,25.82,306.36,1.88,32.75,4.13,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.908435795274384,0.4693877551020408,4.098272709872914,1,0,0,0,0,1,0,-0.2547874684975002,-0.2073489343550002,1.797351197100001,2.1826697585,4.2468237465,7.589258675,5.266596753602075,-0.07207884494792605,1.725272352152075,62.94,38.42,24.181548
1823,50118,50118,18442,CsCa0.125Ge0.625Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.63,0.25,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.96,2880.5,1022.47,5.35,80.07,85.75,727.19,22.74,300.86,1.87,35.0,4.25,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8959914693117212,0.4897959183673469,4.089385411558496,0,0,1,0,0,1,0,-0.2512624395899998,-0.2434685293300001,2.0011779274499992,2.1826697585,4.212777021,7.589258675,5.25812509677121,-0.1824638669537897,1.8187140604962095,52.58,45.99,24.181542
1920,50700,50700,18539,CsBa0.125Ge0.750Sn0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.75,0.13,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.97,2949.5,1097.02,5.35,86.46,98.63,723.01,25.75,304.55,1.86,37.25,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8929334779488827,0.4948979591836734,4.09040869482819,0,0,1,0,0,1,0,-0.2009063555350001,-0.190902602985,2.000343351300001,2.1826697585,4.257861726,7.589258675,5.26933160897897,-0.17084006667103124,1.8295032846289698,52.58,45.99,24.181542
2909,67085,67085,23067,CsCa0.125Ge0.500Pb0.125Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.5,0.25,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.0,2745.0,946.11,6.1,96.89,84.5,721.36,19.36,281.31,1.91,41.25,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8838834764831844,0.5102040816326531,4.101445686930132,0,0,0,1,0,1,0,-0.2923233891000005,-0.3039780465450001,1.838044563324997,2.1826697585,4.176087399,7.589258675,5.248934284345641,-0.11008799731685837,1.7279565660081389,60.88,39.72,24.181536
1125,33139,33139,12238,CsCa0.125Ge0.625Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.63,0.25,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.96,2880.5,1022.47,5.35,80.07,85.75,727.19,22.74,300.86,1.87,35.0,4.25,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8959914693117212,0.4897959183673469,4.089385411558496,0,1,0,0,0,1,0,-0.2466840871950001,-0.232402265395,1.7746390072500005,2.1826697585,4.212777021,7.589258675,5.25812509677121,-0.0691944068537903,1.70544460039621,64.04,37.76,24.181504
2876,67031,67031,23034,CsCa0.125Ge0.250Pb0.125Sn0.500Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.25,0.5,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.07,2687.25,769.52,6.6,108.42,84.75,707.99,13.21,270.33,1.9,45.75,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8634637262013947,0.5459183673469388,4.176242409727179,0,0,0,1,0,1,0,-0.2712802776474999,-0.2734301130425001,1.7762011545999972,2.1826697585,4.108097591,7.589258675,5.231730570234637,-0.09637000706536192,1.6798311475346352,64.04,37.76,24.181504
